 Hrb Slt Fries Lg,165,1342.9602,17684002 ,9 - Strike CCW,FY23/24 , P11
 4xFF Opt 2,22,760.001,52160354 ,9 - Strike CCW,FY23/24 , P11
 Nachos,32,581.8176,17080 ,9 - Strike CCW,FY23/24 , P11
 Margherita Pizza,35,572.7267,171652421 ,9 - Strike CCW,FY23/24 , P11
 PizzanFries,23,418.1814,52160351 ,9 - Strike CCW,FY23/24 , P11
 Chicken Bites,28,392.7284,1772002 ,9 - Strike CCW,FY23/24 , P11
 Meatlovers Pizza,16,347.273,1778501 ,9 - Strike CCW,FY23/24 , P11
 KidsPizzaToShare,42,343.6356,52160119 ,9 - Strike CCW,FY23/24 , P11
 Sides Combo,13,330.9085,52238000 ,9 - Strike CCW,FY23/24 , P11
 OL Pizza,18,327.2724,5214036 ,9 - Strike CCW,FY23/24 , P11
 Prem Pizza&Fries,12,250.9092,52160360 ,9 - Strike CCW,FY23/24 , P11
 Chickn Rnch Piza,11,240.0002,1778401 ,9 - Strike CCW,FY23/24 , P11
 Pepperoni Pizza,15,233.6361,17716 ,9 - Strike CCW,FY23/24 , P11
 KidsFriesToShare,42,229.089,52160113 ,9 - Strike CCW,FY23/24 , P11
 Potato Gems,33,215.91,1779001 ,9 - Strike CCW,FY23/24 , P11
 Cauliflower Bite,21,152.7274,1779201 ,9 - Strike CCW,FY23/24 , P11
 Kids ChickenMeal,11,150.0004,52243001 ,9 - Strike CCW,FY23/24 , P11
 Hawaiian Pizza,12,135.909,17227001 ,9 - Strike CCW,FY23/24 , P11
 Sweet Pot Fries,22,129.546,17302 ,9 - Strike CCW,FY23/24 , P11
 Onion Rings,10,118.182,171581 ,9 - Strike CCW,FY23/24 , P11
 Trio Of Sliders,6,106.3638,17781 ,9 - Strike CCW,FY23/24 , P11
 Pizza Combo,3,106.3635,52298 ,9 - Strike CCW,FY23/24 , P11
 Trio Beef Slider,7,88.6365,17724 ,9 - Strike CCW,FY23/24 , P11
 Onion Rings,15,82.7274,171582 ,9 - Strike CCW,FY23/24 , P11
 Kids Burger Meal,6,81.8184,1778801 ,9 - Strike CCW,FY23/24 , P11
 Kids Pizza Meal,6,81.8184,17789002 ,9 - Strike CCW,FY23/24 , P11
 Hot Honey Pizza,3,65.4546,1778301 ,9 - Strike CCW,FY23/24 , P11
 Hrb Slt Fries Rg,12,62.5,17684001 ,9 - Strike CCW,FY23/24 , P11
 Trio Chick Slide,5,53.1819,17723 ,9 - Strike CCW,FY23/24 , P11
 Duo of Tacos,4,50.9092,17793 ,9 - Strike CCW,FY23/24 , P11
 OL Share Tacos,4,50.9092,5214038 ,9 - Strike CCW,FY23/24 , P11
 P/B BBQ Chicken,2,43.6364,1778601 ,9 - Strike CCW,FY23/24 , P11
 OL Premium Pizza,2,40.0,5214037 ,9 - Strike CCW,FY23/24 , P11
 Kids Chick Meal,3,32.7273,17683005 ,9 - Strike CCW,FY23/24 , P11
 Kids ChesBurger,3,32.7273,1778802 ,9 - Strike CCW,FY23/24 , P11
 Fries Reg,8,29.9998,13063484 ,9 - Strike CCW,FY23/24 , P11
 Corn Ribs,2,27.2728,17717 ,9 - Strike CCW,FY23/24 , P11
 Duo Chicken Taco,4,25.4546,177931 ,9 - Strike CCW,FY23/24 , P11
 Nachos,1,18.1818,52160367 ,9 - Strike CCW,FY23/24 , P11
 Trio Vegan Slide,3,17.7273,52237000 ,9 - Strike CCW,FY23/24 , P11
 Vanilla Choc Top,3,13.6365,177941 ,9 - Strike CCW,FY23/24 , P11
 Warm Olives,5,10.9091,1779101 ,9 - Strike CCW,FY23/24 , P11
 Sour Cream,10,9.091,17295112 ,9 - Strike CCW,FY23/24 , P11
 Jalapenos Add on,4,7.2728,52120 ,9 - Strike CCW,FY23/24 , P11
 Ranch Sauce,6,5.4546,17488111 ,9 - Strike CCW,FY23/24 , P11
 Mint Choc Top,1,4.5455,177942 ,9 - Strike CCW,FY23/24 , P11
 Ranch Sauce,4,3.6364,17488001 ,9 - Strike CCW,FY23/24 , P11
 BBQ Sauce,3,2.7273,17297001 ,9 - Strike CCW,FY23/24 , P11
 Add Shredded Ham,1,2.7273,50015002 ,9 - Strike CCW,FY23/24 , P11
